Organization Name,Organization Name URL,Headquarters Location,Industries,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Industry Groups,Stock Symbol,Stock Symbol URL,Stock Exchange,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Investor Type,Investment Stage
BJB,https://www.crunchbase.com/organization/bjb,"Haidian, Beijing, China","Big Data, Internet of Things, Virtual Reality",http://www.bjb.com.cn,5800000,CNY,910531,1,2008-07-31,day,"Data and Analytics, Hardware, Internet Services, Software",430090,https://www.crunchbase.com/ipo/bjb-ipo--9508117e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SUNUPCG,https://www.crunchbase.com/organization/sunupcg,"Futian, Guangdong, China","Augmented Reality, Creative Agency, Virtual Reality",http://www.sunupcg.com,,,,,1999-09-09,day,"Content and Publishing, Hardware, Media and Entertainment, Software",870223,https://www.crunchbase.com/ipo/sunupcg-ipo--877a4762,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Redot Soft,https://www.crunchbase.com/organization/redot-soft,"Shanghai, Shanghai, China","Data Integration, Information Services, Smart Cities, Software",http://www.redotsoft.com/,,,,,2007-08-06,day,"Data and Analytics, Information Technology, Real Estate, Software",870029,https://www.crunchbase.com/ipo/redot-soft-ipo--746383ec,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ANJI,https://www.crunchbase.com/organization/anji,"Jingan, Shanghai, China","Identity Management, Internet of Things, Security",http://ay.anjismart.com:8090/,,,,,2005-11-16,day,"Information Technology, Internet Services, Privacy and Security",832497,https://www.crunchbase.com/ipo/anji-ipo--21575966,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Biocome,https://www.crunchbase.com/organization/biocome,"Futian, Guangdong, China","Artificial Intelligence (AI), Biometrics, Cloud Computing, Smart Building, Smart Home",http://www.biocome.com/,,,,,2007-12-26,day,"Artificial Intelligence (AI), Biotechnology, Consumer Electronics, Data and Analytics, Internet Services, Real Estate, Science and Engineering, Software",834451,https://www.crunchbase.com/ipo/biocome-ipo--b6abfe1a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Cloud Wisd,https://www.crunchbase.com/organization/cloud-wisd,"Hefei, Anhui, China","Information Technology, Network Security, Software",http://yunzhy.com/,,,,,2002-02-05,day,"Information Technology, Privacy and Security, Software",831886,https://www.crunchbase.com/ipo/cloud-wisd-ipo--78ab646e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing Creative Distribution Automation Co Ltd,https://www.crunchbase.com/organization/creat,"Beijing, Beijing, China",Enterprise Software,http://www.creat-da.com.cn,4000000,USD,4000000,1,1988-01-01,year,Software,002350,https://www.crunchbase.com/ipo/creat-ipo--e4b85533,SZSE - Shenzhen Stock Exchange,,,,,,,,
Aperfect,https://www.crunchbase.com/organization/aperfect,"Jinjiang, Fujian, China","Cloud Computing, Information Technology, Supply Chain Management",http://www.aperfect.com.cn/,,,,,2013-09-27,day,"Information Technology, Internet Services, Software, Transportation",839154,https://www.crunchbase.com/ipo/aperfect-ipo--d7283411,NEEQ - National Equities Exchange and Quotations,,,,,,,,
SunwayWorld,https://www.crunchbase.com/organization/sunwayworld,"Beijing, Beijing, China","Cloud Data Services, Software, Software Engineering, Supply Chain Management, Usability Testing",http://www.sunwayworld.com/,,,,,1995-01-01,year,"Data and Analytics, Design, Information Technology, Internet Services, Science and Engineering, Software, Transportation",301159,https://www.crunchbase.com/ipo/sunwayworld-ipo--419b2662,SZSE - Shenzhen Stock Exchange,515500000,CNY,80828511,,,,,
Hollywave,https://www.crunchbase.com/organization/hollywave,"Shanghai, Shanghai, China","Software, Software Engineering",http://www.holly-wave.com,,,,,2007-01-01,year,"Science and Engineering, Software",688682,https://www.crunchbase.com/ipo/hollywave-ipo--ac7a17ca,SSE - Shanghai Stock Exchange,,,,,,,,
LoongStore,https://www.crunchbase.com/organization/loongstore,"Haidian, Beijing, China","Big Data, Cloud Computing, Information Technology",http://www.loongstore.com.cn/,3285700,USD,3285700,2,2007-07-23,day,"Data and Analytics, Information Technology, Internet Services, Software",870000,https://www.crunchbase.com/ipo/loongstore-ipo--33999d3f,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beidou Xingye,https://www.crunchbase.com/organization/beidou-xingye,"Haidian, Beijing, China","Enterprise Resource Planning (ERP), Information Technology, Software",http://www.bdxyit.com/,,,,,2005-04-28,day,"Information Technology, Software",837126,https://www.crunchbase.com/ipo/beidou-xingye-ipo--412883e8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
IntEasy.cn,https://www.crunchbase.com/organization/inteasy-cn,"Xiamen Shi, Fujian, China","E-Commerce, Information Technology, Web Development",http://www.inteasy.cn,,,,,2009-11-20,day,"Commerce and Shopping, Information Technology, Software",872554,https://www.crunchbase.com/ipo/inteasy-cn-ipo--87bf48ef,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing ABT Networks,https://www.crunchbase.com/organization/beijing-abt-networks-co,"Beijing, Beijing, China","Analytics, Cloud Security, Network Security",http://www.abtnetworks.com,,,,,2007-01-01,year,"Data and Analytics, Information Technology, Privacy and Security",688168,https://www.crunchbase.com/ipo/beijing-abt-networks-co-ipo--2d4f2b23,SSE - Shanghai Stock Exchange,,,,,,,,
Furun Keji,https://www.crunchbase.com/organization/furun-keji,"Zhuhai, Guangdong, China","Enterprise Resource Planning (ERP), Information Technology, Software",http://www.thescm.com.cn/,,,,,2011-04-07,day,"Information Technology, Software",870558,https://www.crunchbase.com/ipo/furun-keji-ipo--3e95d4ae,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing InterAct Technology,https://www.crunchbase.com/organization/beijing-interact-technology,"Beijing, Beijing, China","Business Information Systems, Information Technology, Intelligent Systems",http://www.interact.net.cn/,,,,,2005-12-28,day,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering",300419,https://www.crunchbase.com/ipo/beijing-interact-technology-ipo--27326efe,SZSE - Shenzhen Stock Exchange,,,,,,,,
Xingzhen Tongyuan,https://www.crunchbase.com/organization/xingzhen-tongyuan,"Haidian, Beijing, China","Data Management, Data Mining, Data Storage, Software",http://www.31415.com,,,,,2002-02-22,day,"Data and Analytics, Hardware, Information Technology, Software",838943,https://www.crunchbase.com/ipo/xingzhen-tongyuan-ipo--1a14b4ed,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shanghai Jiaoda Withub Information Industrial,https://www.crunchbase.com/organization/shanghai-jiaoda-withub-information-industrial,"Shanghai, Shanghai, China","Information Technology, Network Security",http://www.withub.com.cn,,,,,1998-05-04,day,"Information Technology, Privacy and Security",8205,https://www.crunchbase.com/ipo/shanghai-jiaoda-withub-information-industrial-ipo--97e9603c,HKG - Hong Kong Stock Exchange,,,,,,,,
Haosen Precision Casting,https://www.crunchbase.com/organization/haosen-precision-casting,"Xian Shi, Shaanxi, China","Industrial, Manufacturing, Productivity Tools",http://www.xahaosen.com/,,,,,2008-05-16,day,"Manufacturing, Software",873925,https://www.crunchbase.com/ipo/haosen-precision-casting-ipo--01383599,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Huixin,https://www.crunchbase.com/organization/huixin-com,"Shenzhen, Guangdong, China","E-Commerce, E-Commerce Platforms, Information Technology, Web Development",http://www.huixin.com,,,,,2003-03-18,day,"Commerce and Shopping, Information Technology, Internet Services, Software",871193,https://www.crunchbase.com/ipo/huixin-com-ipo--11b8120e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Vantage of Convergence,https://www.crunchbase.com/organization/vantage-of-convergence,"Chengdu, Sichuan, China","Apps, Information Technology, SaaS",https://www.iwanshang.com/,,,,,2004-01-01,day,"Apps, Information Technology, Software",872832,https://www.crunchbase.com/ipo/vantage-of-convergence-ipo--32f3c5ab,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ANHEN,https://www.crunchbase.com/organization/anhen,"Dadukou, Chongqing, China","Information Technology, IT Management, Software",http://babh.com.cn,,,,,2013-09-12,day,"Information Technology, Software",871252,https://www.crunchbase.com/ipo/anhen-ipo--c17a7718,NEEQ - National Equities Exchange and Quotations,,,,,,,,
EIHOO,https://www.crunchbase.com/organization/eihoo,"Putuo, Shanghai, China","Augmented Reality, Information Technology, Virtual Reality",http://www.eihoo.com,,,,,2013-01-01,day,"Hardware, Information Technology, Software",871761,https://www.crunchbase.com/ipo/eihoo-ipo--82dad5b8,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Guangzhou Grandbuy,https://www.crunchbase.com/organization/guangzhou-grandbuy,"Guangzhou, Guangdong, China","Retail, Retail Technology, Supply Chain Management",http://www.grandbuy.com.cn/,,,,,2002-04-30,day,"Commerce and Shopping, Hardware, Software, Transportation",002187,https://www.crunchbase.com/ipo/guangzhou-grandbuy-ipo--2ceb344c,SZSE - Shenzhen Stock Exchange,,,,,,,,
Baota Industry,https://www.crunchbase.com/organization/baota-industry,"Yinchuan, Ningxia, China","Electronic Design Automation (EDA), Industrial, Manufacturing",http://www.nxz.com.cn/,,,,,1965-01-01,day,"Hardware, Manufacturing, Software",000595,https://www.crunchbase.com/ipo/baota-industry-ipo--9918dc9f,SZSE - Shenzhen Stock Exchange,,,,,,,,
STARSINO,https://www.crunchbase.com/organization/starsino,"Hangzhou, Zhejiang, China","Big Data, Data Center, Information Technology",http://www.starsino.com/,,,,,2011-11-10,day,"Data and Analytics, Hardware, Information Technology",838291,https://www.crunchbase.com/ipo/starsino-ipo--07aea44d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Hangzhou Hongquan Internet of Things Technology,https://www.crunchbase.com/organization/hangzhou-hongquan-internet-of-things-technology,"Hangzhou, Zhejiang, China","Automotive, Big Data, Intelligent Systems, Manufacturing, Software, Software Engineering",http://www.hopechart.com,,,,,2009-06-11,day,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software, Transportation",688288,https://www.crunchbase.com/ipo/hangzhou-hongquan-internet-of-things-technology-ipo--3ae58a7f,SSE - Shanghai Stock Exchange,,,,,,,,
IMG,https://www.crunchbase.com/organization/img-e1d7,"Shanghai, Shanghai, China","Consulting, Enterprise Resource Planning (ERP), Software",http://www.imgchina.com.cn/,,,,,2005-07-20,day,"Professional Services, Software",839667,https://www.crunchbase.com/ipo/img-e1d7-ipo--beb34bd0,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Skybility,https://www.crunchbase.com/organization/skybility-97ee,"Shenzhen, Guangdong, China","Cloud Computing, Internet, Software",http://www.skybility.com/,,,,,2007-06-07,day,"Internet Services, Software",834473,https://www.crunchbase.com/ipo/skybility-97ee-ipo--dc0050db,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Anhua Intel-tech,https://www.crunchbase.com/organization/anhua-intel-tech,"Wuhan, Hubei, China","Building Maintenance, Construction, Data Center, Data Center Automation",http://www.chn-anhua.com/,3000000,CNY,485916,1,1998-06-15,day,"Hardware, Information Technology, Real Estate, Software",430332,https://www.crunchbase.com/ipo/anhua-intel-tech-ipo--2c4b67bc,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Trusme,https://www.crunchbase.com/organization/trusme,"Guangzhou Shi, Guangdong, China","Hardware, Information and Communications Technology (ICT), Manufacturing, Technical Support",https://www.trusme.com.cn/,,,,,2005-09-02,day,"Hardware, Information Technology, Manufacturing, Other",836447,https://www.crunchbase.com/ipo/trusme-ipo--b5eae033,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Trunkey,https://www.crunchbase.com/organization/trunkey,"Baoshan, Shanghai, China","Big Data, Internet, Network Security",http://www.trunkey.com/,,,,,2010-09-20,day,"Data and Analytics, Information Technology, Internet Services, Privacy and Security",870050,https://www.crunchbase.com/ipo/trunkey-ipo--3231aec1,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Terren,https://www.crunchbase.com/organization/terren,"Haidian, Beijing, China","Analytics, Data Mining, Network Security",http://www.webterren.com/,,,,,2006-01-12,day,"Data and Analytics, Information Technology, Privacy and Security",832738,https://www.crunchbase.com/ipo/terren-ipo--7c8979e4,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Kinth,https://www.crunchbase.com/organization/kinth,"Guangzhou, Guangdong, China","Cloud Computing, Information Technology, IT Management",http://www.kinth.com,,,,,2003-08-04,day,"Information Technology, Internet Services, Software",870310,https://www.crunchbase.com/ipo/kinth-ipo--2559d2b9,NEEQ - National Equities Exchange and Quotations,,,,,,,,
shdmt.net,https://www.crunchbase.com/organization/shdmt-net,"Jingan, Shanghai, China","Cloud Computing, Information Technology, Internet, Software, Telecommunications",http://www.shdmt.net/,,,,,2004-03-08,day,"Hardware, Information Technology, Internet Services, Software",870509,https://www.crunchbase.com/ipo/shdmt-net-ipo--0fb61a03,NEEQ - National Equities Exchange and Quotations,,,,,,,,
"Chengdu Shida Shuju Co., Ltd",https://www.crunchbase.com/organization/chengdu-shida-shuju-co-ltd,"Chengdu, Sichuan, China","Information and Communications Technology (ICT), Information Services, IT Infrastructure",https://www.cdbdata.cn/,,,,,2013-07-05,day,Information Technology,873127,https://www.crunchbase.com/ipo/chengdu-shida-shuju-co-ltd-ipo--76041a03,NEEQ - National Equities Exchange and Quotations,,,,,,,,
RONGLI.COM,https://www.crunchbase.com/organization/rongli-com,"Shanghai, Shanghai, China","Finance, Financial Services, Information Technology, IT Management",http://www.rongli.com,,,,,2012-11-28,day,"Financial Services, Information Technology",872616,https://www.crunchbase.com/ipo/rongli-com-ipo--2d230064,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Sanfeng Sanfeng Intelligent Conveying Equipment,https://www.crunchbase.com/organization/sanfeng-sanfeng-intelligent-conveying-equipment,"Shijiazhuang, Hebei, China","Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Technical Support",http://www.cnsanf.com/about_en.html,,,,,1999-09-23,day,"Information Technology, Manufacturing, Other",300276,https://www.crunchbase.com/ipo/sanfeng-sanfeng-intelligent-conveying-equipment-ipo--2c6914ce,SZSE - Shenzhen Stock Exchange,,,,,,,,
FionTu,https://www.crunchbase.com/organization/fiontu,"Baoan, Guangdong, China","Hardware, Sales, Video Conferencing",http://www.fiontu.com/,,,,,2011-09-22,day,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software",837932,https://www.crunchbase.com/ipo/fiontu-ipo--df9974d1,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Guoxue.com,https://www.crunchbase.com/organization/guoxue-com,"Fengtai, Beijing, China","Document Management, Internet, Web Design",http://www.guoxue.com/,,,,,2002-04-23,day,"Design, Information Technology, Internet Services, Software",430053,https://www.crunchbase.com/ipo/guoxue-com-ipo--b32ab83d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
YIYUNZHANG,https://www.crunchbase.com/organization/yiyunzhang,"Haidian, Beijing, China","E-Signature, Electronics, Legal",https://www.ecloudsign.cn/,,,,,2003-12-17,day,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Professional Services",833574,https://www.crunchbase.com/ipo/yiyunzhang-ipo--8f1441c9,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Yaqi Xinxi,https://www.crunchbase.com/organization/yaqi-xinxi,"Shenzhen, Guangdong, China","Cloud Data Services, Document Management, File Sharing",http://www.cn-archives.com,,,,,2008-11-18,day,"Information Technology, Internet Services, Software",870059,https://www.crunchbase.com/ipo/yaqi-xinxi-ipo--5664ffcb,NEEQ - National Equities Exchange and Quotations,,,,,,,,
BusinessMatrix,https://www.crunchbase.com/organization/businessmatrix,"Guangzhou, Guangdong, China","Asset Management, Data Center, Information Technology",http://www.businessmatrix.com.cn/,3000000,CNY,488544,1,2005-07-19,day,"Financial Services, Hardware, Information Technology",836655,https://www.crunchbase.com/ipo/businessmatrix-ipo--e9473854,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Jinlanluo,https://www.crunchbase.com/organization/jinlanluo,"Putuo, Shanghai, China","Information Services, Information Technology, Virtual Reality",http://www.jinlanluo.com.cn/,,,,,2003-06-18,day,"Hardware, Information Technology, Software",832492,https://www.crunchbase.com/ipo/jinlanluo-ipo--95cffe9a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tongzhi Weiye,https://www.crunchbase.com/organization/tongzhi-weiye,"Jinan, Shandong, China","Cyber Security, Hardware, Security",http://www.tongzhi.com.cn/,,,,,2000-06-29,day,"Hardware, Information Technology, Privacy and Security",430704,https://www.crunchbase.com/ipo/tongzhi-weiye-ipo--f84dca2d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Feiyuxing,https://www.crunchbase.com/organization/feiyuxing,"Chengdu, Sichuan, China","Internet, Network Security, Wireless",http://www.adslr.com/,15000000,CNY,2309896,1,2002-04-17,day,"Hardware, Information Technology, Internet Services, Mobile, Privacy and Security",831002,https://www.crunchbase.com/ipo/feiyuxing-ipo--de676fa3,NEEQ - National Equities Exchange and Quotations,,,,,,,,
YOUXININFINITE,https://www.crunchbase.com/organization/youxininfinite,"Dongguang, Guangdong, China","Cloud Computing, Information Technology, Internet, Wireless",https://www.iyouxin.com/,,,,,2001-12-27,day,"Hardware, Information Technology, Internet Services, Mobile, Software",839312,https://www.crunchbase.com/ipo/youxininfinite-ipo--508aa51a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Tempus Global,https://www.crunchbase.com/organization/shenzhen-tempus-global-business-service-holdings-ltd,"Shenzhen, Guangdong, China","Enterprise Software, Travel",http://tengbang.feiren.com,71780000,CNY,10500063,2,1998-01-01,year,"Software, Travel and Tourism",300178,https://www.crunchbase.com/ipo/shenzhen-tempus-global-business-service-holdings-ltd-ipo--b620e67b,SZSE - Shenzhen Stock Exchange,,,,,,,,
FLYING SOFT,https://www.crunchbase.com/organization/flying-soft,"Beijing, Beijing, China","Content, Document Management, Information Services",http://www.flyingsoft.cn,,,,,2000-07-04,day,"Information Technology, Media and Entertainment, Software",870342,https://www.crunchbase.com/ipo/flying-soft-ipo--789dbd25,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Beijing Tricolor Technology,https://www.crunchbase.com/organization/beijing-tricolor-technology,"Changping, Beijing, China","Consumer Software, Manufacturing, Software, Software Engineering",http://www.chinargb.com.cn,,,,,2011-05-16,day,"Manufacturing, Science and Engineering, Software",603516,https://www.crunchbase.com/ipo/beijing-tricolor-technology-ipo--f0bdc814,SSE - Shanghai Stock Exchange,,,,,,,,
GTEC,https://www.crunchbase.com/organization/gtec-3444,"Hefei, Anhui, China","Cloud Computing, Internet, Marketing",http://www.ahgtyc.com/,,,,,1995-01-01,day,"Internet Services, Sales and Marketing, Software",832785,https://www.crunchbase.com/ipo/gtec-3444-ipo--8e41acfc,NEEQ - National Equities Exchange and Quotations,,,,,,,,
ULTIMUS PDC,https://www.crunchbase.com/organization/ultimus-pdc,"Jinan, Shandong, China","Business Information Systems, Consulting, Software",http://www.ultimuspdc.com,,,,,2008-04-01,day,"Information Technology, Professional Services, Software",838322,https://www.crunchbase.com/ipo/ultimus-pdc-ipo--2ace398c,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Sungoin,https://www.crunchbase.com/organization/sungoin,"Xuhui, Shanghai, China","Enterprise Applications, Information Technology",http://www.sungoin.com,,,,,2004-01-01,day,"Apps, Information Technology, Software",836521,https://www.crunchbase.com/ipo/sungoin-ipo--f0f722b5,NEEQ - National Equities Exchange and Quotations,,,,,,,,
HFVast Corporation,https://www.crunchbase.com/organization/hfvast-corporation,"Haidian, Beijing, China","Big Data, Cloud Computing, Information Technology, Software",http://www.hfvast.com,,,,,2012-10-24,day,"Data and Analytics, Information Technology, Internet Services, Software",837220,https://www.crunchbase.com/ipo/hfvast-corporation-ipo--d2a2ee36,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Ouma Software,https://www.crunchbase.com/organization/ouma-software,"Jinan, Shandong, China","Cloud Computing, Education, Hardware, Information Technology, Professional Services, Software",http://www.oumasoft.com/,,,,,2005-02-01,month,"Education, Hardware, Information Technology, Internet Services, Other, Software",301185,https://www.crunchbase.com/ipo/ouma-software-ipo--20cd2c23,SZSE - Shenzhen Stock Exchange,455700000,CNY,71345816,,,,,
GIDDAP,https://www.crunchbase.com/organization/giddap,"Yubei, Chongqing, China","Automotive, Sales Automation, Service Industry",http://www.giddap.com.cn/,,,,,1999-07-01,day,"Information Technology, Other, Sales and Marketing, Software, Transportation",836520,https://www.crunchbase.com/ipo/giddap-ipo--693e0ddf,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Chengdu Leejun Industrial,https://www.crunchbase.com/organization/chengdu-leejun-industrial,"Chengdu, Sichuan, China","Industrial Manufacturing, Manufacturing, Retail Technology",http://en.cdleejun.com/,,,,,1999-11-23,day,"Commerce and Shopping, Hardware, Manufacturing, Software",002651,https://www.crunchbase.com/ipo/chengdu-leejun-industrial-ipo--e43586d1,SZSE - Shenzhen Stock Exchange,,,,,,,,
Pengqi Technology Development,https://www.crunchbase.com/organization/pengqi-technology-development,"Shanghai, Shanghai, China","Military, Pollution Control, Real Estate",http://www.600614.com/,,,,,1947-04-01,day,"Government and Military, Information Technology, Real Estate, Sustainability",600614,https://www.crunchbase.com/ipo/pengqi-technology-development-ipo--1bd1f238,SSE - Shanghai Stock Exchange,,,,,,,,
Lianwang,https://www.crunchbase.com/organization/lianwang,"Chengdu, Sichuan, China","Cloud Computing, Information Technology, Network Security",http://www.linkwww.com/,,,,,2001-10-09,day,"Information Technology, Internet Services, Privacy and Security, Software",833699,https://www.crunchbase.com/ipo/lianwang-ipo--abeca40a,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Zhongfu Information,https://www.crunchbase.com/organization/zhongfu-information,"Jinan, Shandong, China","Cloud Security, Information Technology, Software",http://www.zhongfu.net/,,,,,2002-03-12,day,"Information Technology, Privacy and Security, Software",300659,https://www.crunchbase.com/ipo/zhongfu-information-ipo--f8c86ea4,SZSE - Shenzhen Stock Exchange,,,,,,,,
ZEROPLUS,https://www.crunchbase.com/organization/zeroplus,"Shanghai, Shanghai, China","3D Technology, Manufacturing, Robotics",http://www.zeroplus.com.cn,,,,,2012-04-05,day,"Hardware, Manufacturing, Science and Engineering, Software",837434,https://www.crunchbase.com/ipo/zeroplus-ipo--14687569,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Huabo Chuangke,https://www.crunchbase.com/organization/huabo-chuangke,"Beijing, Beijing, China","Information Technology, Software, Technical Support",http://www.hbck.com.cn/,,,,,2003-07-18,day,"Information Technology, Other, Software",872138,https://www.crunchbase.com/ipo/huabo-chuangke-ipo--e847d5ec,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shenzhen Hirisun Technology,https://www.crunchbase.com/organization/shenzhen-hirisun-technology,"Shenzhen, Guangdong, China","Business Information Systems, Data Integration, Information Technology",http://www.hirisun.com/,,,,,2000-01-04,day,"Data and Analytics, Information Technology, Software",300277,https://www.crunchbase.com/ipo/shenzhen-hirisun-technology-ipo--42e41f57,SZSE - Shenzhen Stock Exchange,,,,,,,,
Daoda Tianji,https://www.crunchbase.com/organization/daoda-tianji,"Haidian, Beijing, China","Military, Wearables",http://www.daodatianji.com/,,,,,2002-08-07,day,"Consumer Electronics, Government and Military, Hardware, Information Technology",874028,https://www.crunchbase.com/ipo/daoda-tianji-ipo--e03f2d0e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Guangyude,https://www.crunchbase.com/organization/guangyude,"Tongzhou, Beijing, China","Cloud Management, Identity Management, Information Technology",http://www.aoasign.com/,,,,,1992-01-01,day,"Information Technology, Internet Services, Privacy and Security, Software",834431,https://www.crunchbase.com/ipo/guangyude-ipo--677909ed,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Dejax,https://www.crunchbase.com/organization/dejax,"Suzhou, Jiangsu, China","Data Center, Information Services, Software",http://www.dejax.cn/,,,,,2007-09-01,day,"Hardware, Information Technology, Software",871653,https://www.crunchbase.com/ipo/dejax-ipo--eebbe569,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shenzhen Strongteam Decoration Engineering,https://www.crunchbase.com/organization/shenzhen-strongteam-decoration-engineering,"Shenzhen, Guangdong, China","CivicTech, Civil Engineering, Smart Building",http://www.ztjzgf.net,,,,,2000-09-28,day,"Government and Military, Information Technology, Real Estate, Science and Engineering",2989,https://www.crunchbase.com/ipo/shenzhen-strongteam-decoration-engineering-ipo--fdbd6418,SZSE - Shenzhen Stock Exchange,,,,,,,,
Autosoft Jitong,https://www.crunchbase.com/organization/autosoft-jitong,"Beijing, Beijing, China","Embedded Software, Information Technology, Simulation, Software",http://www.ajt.com.cn/,,,,,1999-01-01,year,"Information Technology, Software",834455,https://www.crunchbase.com/ipo/autosoft-jitong-ipo--fe6c97f3,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Lianyun Shiji,https://www.crunchbase.com/organization/lianyun-shiji,"Beijing, Beijing, China","Cloud Computing, Cloud Data Services, Internet",http://www.yunzx.com,,,,,2009-01-01,day,"Information Technology, Internet Services, Software",871315,https://www.crunchbase.com/ipo/lianyun-shiji-ipo--ae0051eb,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Cosunet,https://www.crunchbase.com/organization/cosunet,"Zhabei, Shanghai, China","Information Technology, Technical Support",http://www.cosunet.com.cn/,47340000,CNY,7305736,2,2002-07-12,day,"Information Technology, Other",834257,https://www.crunchbase.com/ipo/cosunet-ipo--a148a70b,NEEQ - National Equities Exchange and Quotations,,,,,,,,
New Horizontal,https://www.crunchbase.com/organization/new-horizontal,"Harbin, Heilongjiang, China","Animation, Video, Virtual Reality",https://www.xskup.com/,,,,,2008-02-20,day,"Hardware, Media and Entertainment, Software, Video",833438,https://www.crunchbase.com/ipo/new-horizontal-ipo--30e8500d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
lcct.com.cn,https://www.crunchbase.com/organization/lcct-com-cn,"Liaocheng, Shandong, China","Cloud Computing, Government, Information Technology, Software",http://www.lcct.com.cn/,,,,,2016-07-27,day,"Government and Military, Information Technology, Internet Services, Software",831470,https://www.crunchbase.com/ipo/lcct-com-cn-ipo--a0bed1ea,NEEQ - National Equities Exchange and Quotations,,,,,,,,
CCT,https://www.crunchbase.com/organization/cct-a4fa,"Beijing, Beijing, China","Enterprise Software, Information Technology, Software",http://www.cct-group.cn/,,,,,2003-07-01,day,"Information Technology, Software",835131,https://www.crunchbase.com/ipo/cct-a4fa-ipo--3c40a2bc,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Shenlinqijing Virtual Reality,https://www.crunchbase.com/organization/shenlinqijing-virtual-reality,"Haidian, Beijing, China","Gaming, Simulation, Virtual Reality",http://www.shenlinqijing.cn/,,,,,2011-11-30,day,"Gaming, Hardware, Software",832817,https://www.crunchbase.com/ipo/shenlinqijing-virtual-reality-ipo--1abf91c7,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Century Information Technology,https://www.crunchbase.com/organization/century-information-technology,"Nanjing, Jiangsu, China","Enterprise Software, Information Technology, Product Research, Software",http://www.centit.com/,,,,,2000-01-26,day,"Data and Analytics, Design, Information Technology, Software",870716,https://www.crunchbase.com/ipo/century-information-technology-ipo--67d46cfe,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Qunzhi Tech,https://www.crunchbase.com/organization/qunzhi-tech,"Huangpu, Guangdong, China","Information and Communications Technology (ICT), Information Technology, IT Infrastructure, Software, Technical Support",http://www.qunzhi.net/,,,,,1998-06-12,day,"Information Technology, Other, Software",839883,https://www.crunchbase.com/ipo/qunzhi-tech-ipo--587f1847,NEEQ - National Equities Exchange and Quotations,,,,,,,,
