公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,员工人数,地址,电话,邮箱,团队姓名,职位,融资次数,融资总额(万人民币)
威派格,上海威派格智慧水务股份有限公司,913100005791928139,http://www.shwpg.com,智慧水务解决方案提供商,威派格智慧水务是一家智慧水务解决方案提供商，主要产品有VII智联供水设备、TII分质供水设备、WPD自来水加压泵站、稳压补偿式无负压供水设备及箱式无负压供水设备等，此外公司还涉及智慧供水管理平台系统的部署、调试与维护服务。,企业服务,行业信息化及解决方案,上海,嘉定区,2011-07,运营中,,上海市嘉定区恒定路1号,021-6908-0888 ,shanghaiwpg@163.com,李纪玺,董事长,,
广脉科技,广脉科技股份有限公司,913301085930545135,http://www.gcomtechnology.com,无线通信网络优化,广脉科技是一家无线通信网络优化领域集研发、销售及相关服务于一体的高新技术企业，致力于提供无线通信网络优化整体解决方案及一站式服务，包括设计、施工、调试、优化及后续的技术服务等.公司主要产品包括室分/WLAN、管线传输、宽带、设备安装等无线公网通信系统集成服务、铁路、广电、公安等专网无线通信系统集成服务、“智慧城市”系统集成服务、公网及专网定制化产品供应等。,企业服务,企业IT服务,浙江,杭州,2012-03,运营中,,杭州市滨江区西兴街道滨康路101号7幢606室,0571-8761-5685,gcom_gm@126.com,赵国民,总经理,,
福昕软件,福建福昕软件开发股份有限公司,91350100731862878C,http://www.foxitsoftware.cn,PDF电子文档解决方案提供厂商,福建福昕软件开发股份有限公司（Foxit Software Incorporated）是一家国际化运营的PDF电子文档解决方案提供厂商，是国际PDF协会主要成员、中国版式文档OFD标准制定成员。福昕在亚洲、美洲、欧洲和澳洲设有多家子公司，福昕直接用户已超过5.6亿，企业客户数达10万以上，遍及世界200多个国家和地区。福昕的核心技术具有跨平台、高效率、安全等优势，产品与服务覆盖桌面、互联网与移动互联网，被广泛应用于各行业的个人、企业、机构的文档应用服务领域。一大批全球知名企业如微软、谷歌、亚马逊、英特尔、戴尔、康菲石油、培生集团、纳斯达克、德国商业银行、中国移动、中建、中铁建、联想、腾讯、百度、科大讯飞、当当等使用了福昕的授权技术或通用产品，福昕软件助推相关行业解决方案的不断丰富与发展。,企业服务,办公OA,福建,福州,2001-09,运营中,,福州市鼓楼区软件园G区5号楼,0591-3850-9808,sales@foxitsoftware.cn,熊雨前,董事长,,
捷安高科,郑州捷安高科股份有限公司,91410100739082104K,http://www.jantech.cn,虚拟仿真培训解决方案提供商,捷安高科是一家虚拟仿真培训解决方案提供商，主营业务是为轨道交通领域提供模拟仿真实训系统产品，主要产品包括轨道交通制动系列、轨道交通运营管理系列、特种作业系列等，并提供轨道交通、安监考培、工业焊接等解决方案。,企业服务,行业信息化及解决方案,河南,郑州,2002-06,运营中,,郑州高新开发区翠竹街6号,0371-8658-9327,hr@jiean.net,郑乐观,董事长	,,
龙软科技,北京龙软科技股份有限公司,911101087355893625,http://www.longruan.com,煤炭企业IT服务提供商,"龙软科技是一家煤炭企业IT服务提供商，公司成立于2002年,是中关村国家自主创新示范区的高新技术企业,公司以自主研发的“龙软专业地理信息系统”为核心,服务于煤炭、石油天然气等能源行业以及安全监察、国土资源等政府部门,提供数字矿山、应急救援管理、国土资源管理、安全监管平台等专业解决方案。",企业服务,企业IT服务,北京,海淀区,2002-02,运营中,,北京市海淀区中关村东路66号世纪科贸大厦C座2106室,010-6267-0052,LR@longruan.com,,,,
华是科技,浙江华是科技股份有限公司,913300007042039575,http://www.zjwhyis.com/,智慧城市及互联网应用综合解决方案提供商,华是科技是一家智慧城市及互联网应用综合解决方案提供商，致力于新型智慧城市建设服务，研发了工业自动控制系统、检察院审讯指挥系统、水路智能交通监控系统、智能建筑管理系统、治安动态安防监控系统等产品。,企业服务,行业信息化及解决方案,浙江,杭州,1998-06,运营中,,杭州市古墩路7号西湖广电中心7楼,0571-2800-0066,zjhs@zjwhyis.com,俞永方,董事长,,
佳缘科技,佳缘科技股份有限公司,91510100209459605G,http://www.scjydz.com/index.html,一家建筑智能化信息系统工程研发商,佳缘科技是一家独具优势专业、资质优势的综合建筑智能化信息系统服务提供商，公司的主要业务链涵盖智能化工程的前期咨询、方案设计、软件开发、工程施工、系统集成，以及智能化设备的研发销售等各个环节。,企业服务,行业信息化及解决方案,四川,成都,1994-08,运营中,,成都高新区繁雄大道西段399号城南科技广场6号楼1110-1112号,028-6212-2223,789917@vip.sina.com,王进,董事长,,
国义招标,国义招标股份有限公司,914400001903718642,http://www.gmgitc.com,专业招标代理服务商,国义招标是一家专业招标代理服务商，主要为医疗、交通、能源、电信、环保、市政工程等领域的客户提供招标代理服务及招标后续采购增值服务。,企业服务,客户服务,广东,广州,1995-12,运营中,,广东省广州市越秀区东风东路726号16-18楼, 020-3786-0689,goyi@ebidding.com,王卫,董事长,,
国源科技,北京世纪国源科技股份有限公司,91110102782527551G,http://www.gykj.com.cn/,不动产数字化建设与应用服务提供商,国源科技是一家不动产数字化建设与应用服务提供商，集地理信息研究、开发和数据采集加工、应用为一体，主要从事软件开发、数据库建设、图形采集、数据录入，土地规划及地矿规划设计，摄影测量与遥感影像加工，工程测量，地籍测量，地理信息系统工程，计算机网络工程等业务。,企业服务,企业IT服务,北京,西城区,2005-10,运营中,,北京市西城区西直门外大街1号院西环广场T210C11、10C12号房间(德胜园区),010-5830-1676,1002364763@qq.com,董利成,董事长,,
经纬天地,广东经纬天地科技有限公司,91440400748032459A,http://www.wellcell.com.cn,为移动运营商提供软件产品和技术服务,经纬天地是一个专业为移动运营商提供软件产品和技术服务的高新技术企业。公司主要提供移动通信领域的无线网络的优化服务、相关产品研发等业务，主要客户包括中国集团及各省分公司；中国联通集团及国内分公司。,企业服务,企业IT服务,广东,珠海,2003-03,运营中,,珠海市香洲区银桦路598号一栋1单元701-703房,0756-222-9101,,贾正屹,总经理,,
泽达易盛,泽达易盛（天津）科技股份有限公司,911201160612051730,http://www.sino-essence.com,食品药品流通领域信息化服务提供商,泽达易盛是一家食品药品流通领域信息化服务提供商，业务范围覆盖食品、药品生产及流通领域监督服务信息化、农业信息化的软件开发、系统集成及技术服务，同时构建了基于互联网及云平台的全程服务。,企业服务,行业信息化及解决方案,天津,滨海新区,2013-01,运营中,,天津开发区黄海路276号泰达中小企业园4号楼104号房屋, 022-6687-7858,zdys@itouch.com.cn,刘雪松,董事长,,
立昂技术,立昂技术股份有限公司,916501002999341738,http://www.leoncom.cn/#/index,综合性ICT服务提供商,立昂技术是一家综合性ICT服务提供商，专注于为政府机构、社会团体、各大运营商及其他用户群体提供通信网络代维服务和通信网络施工等服务，主营业务覆盖通信工程设计、建设、系统集成、网络维护、网络服务等领域。,企业服务,综合企业服务,新疆,乌鲁木齐,1996-01,运营中,,新疆乌鲁木齐经济技术开发区喀什西路545号美丽家园3层办公楼30号,0991-368-0350,leon@leoncom.cn,王刚,董事长,,
殷图网联,北京殷图网联科技股份有限公司,91110108769363441L,http://www.intodigit.com,电力行业综合监控解决方案提供商,殷图网联是一家电力行业综合监控解决方案提供商，主要从事电力变电站远程综合监控设备及系统的设计、研发和销售。,企业服务,行业信息化及解决方案,北京,海淀区,2004-11,运营中,,北京市海淀区上地东路35号院1号楼2层1-202-205、1-202-206、1-202-207,010-8245-8359,hr@intodigit.com,郑三立,总经理,,
广厦环能,北京广厦环能科技股份有限公司,911101147226688971,http://www.groundsun.com,强化传热技术解决方案提供商,广厦环能是一家强化传热技术解决方案提供商，主要从事强化传热技术及其配套设备研发、设计、生产、销售及服务，为客户提供专业的传热技术解决方案以及高效换热产品，以满足国家不断提高的环保、节能要求，以及客户装置大型化、集约化需求。主要产品有高通量管系列换热产品、波纹管系列换热产品、低翅片管系列换热产品、高真空冷凝系列产品、粉体流换热系列产品、其他容器类产品。,企业服务,行业信息化及解决方案,北京,昌平区,2001-02,运营中,,北京市昌平区科技园区超前路9号B座2097室,010-8286-4488,gsxuliang96@163.com,刘永超,总经理,,
金现代,金现代信息产业股份有限公司,91370100733715775E,http://www.jxdinfo.com,行业信息化解决方案提供商,"金现代是一家行业信息化解决方案提供商，致力于电力、铁路、军工、石化、公安等领域的信息化建设。公司拥有具备自主知识产权的开发设计技术及专业团队。
",企业服务,行业信息化及解决方案,山东,济南,2001-12,运营中,,山东省济南市高新区新泺大街1166号奥盛大厦2号楼21层东区2101,0531-8887-2666,hucm12@163.com,黎峰,董事长,,
索辰科技,上海索辰信息科技股份有限公司,91310000785643574Y,http://www.demxs.com/,系统软硬件研发及SAAS服务,索辰信息基于全球最佳实践和领先技术，为客户提供产品全生命周期协同研制系统软硬件、SAAS服务。产品和服务覆盖研发前沿工程、数字化设计及智能制造。客户广泛分布在重型机械、地面交通、电子、建筑、航空、航天、光电、动力设备等行业。,企业服务,行业信息化及解决方案,上海,浦东新区,2006-02,运营中,,上海市浦东新区金苏路200号D栋5楼;中国（上海）自由贸易试验区新金桥路27号13号楼2层,021-3429-3331,shelly.xie@demxs.com,陈灏,董事长兼总经理,,
伊登软件,深圳市伊登软件有限公司,91440300745156499M,http://www.edensoft.com.cn,综合IT解决方案及云服务提供商,伊登软件为中国的综合IT解决方案及云服务提供商，于中国IT服务行业拥有超过16年经验。业务组合包括提供IT基础设施服务、IT实施及支持服务以及云服务。,企业服务,企业IT服务,广东,深圳,2002-11,运营中,,深圳市福田区深南大道1006号深圳国际创新中心A栋02层西,0755-8826-2588, wunm@edensoft.com.cn,丁新云,总经理,,
华信永道,华信永道（北京）科技股份有限公司,911101086646328871,http://www.yondervision.com.cn,住房公积金行业和银行信息化解决方案,华信永道是一家提供住房公积金及银行业数字化解决方案的供应商和服务运营商，为全国各地的住房公积金管理机构和银行提供多跨场景的信息系统相关的软件定制开发、维护服务、第三方产品销售与集成、外包服务等业务。,企业服务,企业IT服务,北京,海淀区,2007-07,运营中,,北京市海淀区知春路113号银网中心B座817,010-8493-3266 ,wanghua@yondervision.com.cn ,刘景郁,总经理,,
浩辰软件,苏州浩辰软件股份有限公司,91320000733334390E,http://www.gstarcad.com,CAD产品及解决方案提供商,浩辰软件是一家CAD产品及解决方案提供商，公司产品包括浩辰CAD平台软件和基于浩辰CAD平台的专业软件等，整体解决方案可应用于工程建设、制造业等设计领域。,企业服务,行业信息化及解决方案,江苏,苏州,2001-11,运营中,,苏州工业园区东平街286号,0512-6288-0780,support_ss@gstarcad.com,胡立新,董事长,,
正元地信,正元地理信息集团股份有限公司,91110000267130226N,http://www.geniuses.com.cn/,智慧城市建设及运营综合服务商,正元地信是智慧城市建设及运营综合服务商。产品及服务涵盖“海、陆、空、地‘四位一体’空间数据获取”、“数据处理”、“智慧城市建设”三大板块，拥有“地上地下智慧空间整体框架设计”、“海、陆、空、地‘四位一体’数据采集”、“数据处理及综合监管平台建设”、系统运营与维护及其他5个业务领域。利用正元自主研发的“正元地球”GIS平台——正元三维空间信息云平台，能够提供从平台设计、应用开发、项目实施、维护运营等智慧城市建设专项服务。,企业服务,行业信息化及解决方案,北京,顺义区,1999-03,运营中,,北京市顺义区国门商务区机场东路2号2A组团2号楼, 010-5329-6122,zy@geniuses.com.cn,杨玉坤,董事长,,
宏景科技,宏景科技股份有限公司,91440101618097617B,http://www.gloryview.com,智慧城市综合服务商,宏景科技是一家智慧城市综合服务商，主要从事建筑智能化、计算机信息系统集成、安防以及软件应用系统的规划、设计、开发、实施和维护等服务，在智慧医疗、智慧交通、智慧政务、智慧旅游等领域提供解决方案。,企业服务,行业信息化及解决方案,广东,广州,1997-03,运营中,,广州高新技术产业开发区科学城科学大道162号B2区第七层701、702单元,020-3221-1688 ,welcome@gloryview.com,林山驰,总经理,,
日月明,江西日月明测控科技股份有限公司,91360106784146840K,http://www.rym.com.cn,铁道测控产品制造商,日月明是一家铁道测控产品制造商，从事铁道测控产品的研发、生产、销售和服务，主要产品是GJY-T-EBJ-2型轨道检查仪，具有精度高、在线分析处理、采样点密集、报表输出多样的特点；此外还为铁路高速化与信息化提供完整的精密数字化检测方案。,企业服务,前沿技术,江西,南昌,2006-03,运营中,,江西省南昌市高新技术产业开发区高新四路999号,0791-8819-7852,sunnylou123@163.com,陶捷,董事长,,
米奥兰特,浙江米奥兰特商务会展股份有限公司,91330100557910132M,http://www.meorient.com,从事境内外会展业务策划,米奥会展是一家主营出国办展业务(包括境外自办展和境外代理展)及境内自办展业务的企业。致力于提供会展服务涵盖会展项目的策划、会展实施、展位销售以及展览相关的配套服务。按照承办展览业务类型可分为境外自办展、境内自办展以及境外代理展。,企业服务,销售营销,浙江,杭州,2010-06,运营中,,杭州市经济技术开发区白杨街道6号大街452号3幢912号房, 0571-8672-3222 ,,潘建军,董事长,,
球冠电缆,宁波球冠电缆股份有限公司,913302007960175287,http://www.qrunning.com,电线电缆生产商,球冠电缆是一家电线电缆生产商，主要产品为500kV及以下级别电线电缆，产品应用涉及电力、能源、交通、智能装备、石化、冶金、工矿、通讯、建筑工程等多个领域。,企业服务,企业IT服务,浙江,宁波,2006-12,运营中,, 宁波市北仑区小港街道姚墅,0574-8619-7411, qiuguan@qrunning.com,陈永明,董事长,,
龙磁科技,安徽龙磁科技股份有限公司,91340100153671403J,http://www.sinomagtech.com,永磁铁氧体材料研发商,龙磁科技是一家永磁铁氧体材料研发商，主要从事永磁铁氧体磁性电子元件的研发、生产和销售，产品广泛应用于汽车、家电、摩托车、音响、电动工具、健身器材等领域。,企业服务,企业IT服务,安徽,合肥,1998-01,运营中,,安徽省合肥市庐江县郭河镇工业区,0551-6286-5330, figohl@sinomagtech.com,熊永宏,董事长,,
通业科技,深圳通业科技股份有限公司,91440300726171714C,http://www.sz-tongye.com.cn/,轨道交通用电力设备生产制造企业,"通业科技是一家关于轨道交通用电力设备生产制造的企业，形成了电源、网络控制两大类产品类别，产品涉及电源系统、控制监控系统TCMS、控制设备、测试设备、传感器、电连接器等,运用于电力机车、内燃机车和地铁等车辆上。",企业服务,企业IT服务,广东,深圳,2000-12,运营中,,深圳市龙华新区观澜街道桂花社区观光路美泰工业园三号厂房一至四层,0755-2808-3364,wangying@sz-tongye.com,闫永革,总经理,,
EMTEK检测,深圳信测标准技术服务股份有限公司,914403007230301820,http://www.emtek.com.cn/,第三方检测认证平台,EMTEK检测是第三方检测认证平台，主要从事Safety、EMC、环境可靠性、新能源检测、认证等技术服务，用户遍及家用电器、音视频设备、信息技术设备、电池、灯具、玩具等领域。,企业服务,科研和社会服务,广东,深圳,2000-07,运营中,,深圳市南山区马家龙工业区69栋,132-6906-2182 , 694014053@qq.com ,吕文娟,CEO,,
捷顺科技,深圳市捷顺科技实业股份有限公司,914403002794141894,,通道管理设备与安防智能系统解决方案供应商,捷顺科技是一家通道管理设备与安防智能系统解决方案供应商，公司基于电子、智能及互联网、物联网技术的研究，先后研发了智能停车场管理系统、智能门禁管理系统、智能通道闸管理系统及智能一体化安防解决方案。产品包括捷停车及捷生活APP、停车场智能硬件、城市级智能一卡通系统、停车场智能管理平台、智慧商业O2O运营平台等。,企业服务,企业安全,广东,深圳,1992-06,运营中,,深圳市福田区梅林街道龙尾路10号捷顺科技,0755-8311-2288,xz@jieshun.cn,唐健,董事长,,
高凌信息,珠海高凌信息科技股份有限公司,914404007211055669,http://www.comleader.cn,一家系统产品和解决方案提供商,高凌信息是一家系统产品和解决方案提供商，专注于从事环境信息自动监测系统与国家专用信息网络装备研制开发、系统集成、生产销售及技术服务。,企业服务,行业信息化及解决方案,广东,珠海,1999-12,运营中,,珠海市南屏科技工业园屏东一路1号,0756-868-3888,Service@comleader.com.cn,冯志峰,总经理,,
汉鼎股份,汉鼎宇佑互联网股份有限公司,913300007441437848,http://www.hakim.com.cn,以智慧城市为主体的综合性企业,汉鼎股份是一家以智慧城市业务起步，目前已全面转型为以创新金融、智慧互联为核心助推力的泛娱乐产业集团。主营业务包括：娱乐体验（快乐体验、快乐内容），创新金融（金融控股、金融科技、战略投资）、智慧互联（智能技术、大数据及人工智能、互联网流量）三大板块。,企业服务,综合企业服务,浙江,杭州,2002-11,运营中,,杭州市下城区永福桥路5号汉鼎国际大厦;浙江省杭州市延安路511号元通大厦1119室,0571-8649-3333,hakim@hakim.com.cn ,吴艳,CEO,,
罗曼股份,上海罗曼照明科技股份有限公司,913100006314149553,http://www.shluoman.cn,城市景观照明整体方案提供商,罗曼股份为国内知名的城市景观照明整体方案提供商，专业从事城市及区域性景观照明的整体规划和设计、施工及专业照明、节能改造项目的实施。,企业服务,行业信息化及解决方案,上海,杨浦区,1999-03,运营中,,上海市杨浦区秦皇岛路32号G楼,021-6503-1217,shlm@shluoman.cn,花泽炜,副总经理,,
品茗股份,杭州品茗安控信息技术股份有限公司,91330100577330709E,http://www.pinming.cn,建设工程施工安全物联网服务商,"品茗股份系一家专业从事建筑工程机械安全监控系统、备案系统等工程建设行业软件研发和销售的高科技企业。目前,公司的主营业务为软件产品的开发及销售、技术服务,主要产品包括施工升降机安全监控管理系统、塔机安全监控管理系统、建筑工程起重机械备案管理系统、物联网监管平台系统等软件及嵌入式系统产品。",企业服务,企业安全,浙江,杭州,2011-07,运营中,,杭州市西湖区西斗门路3号天堂软件园B幢5楼C座,0571-5603-5577,duandonglan@pinming.cn,莫绪军,董事长兼总经理,,
并行科技,北京并行科技股份有限公司,91110108799022234R,http://www.paratera.com,注于高性能计算和大数据分析领域的技术企业,并行科技提供数据中心建设、在线运维、运营大数据采集分析、业务运行优化等服务，是一家专注于高性能计算和大数据分析领域的技术企业。并行科技的主营业务包括数据中心集群系统建设、公有云7*24小时数据中心在线运维服务、私有云数据中心无人值守自动化运维解决方案、数据中心运营大数据采集分析挖掘可视化服务、应用运行特征分析、系统和应用优化服务等。,企业服务,企业IT服务,北京,海淀区,2007-02,运营中,,北京市海淀区西北旺东路10号院东区21号楼101-301,010-8278-0511,mmx050615@163.com,陈健,董事长兼总经理,,
铜牛信息,北京铜牛信息科技股份有限公司,91110108780984409U,http://www.topnewinfo.cn/,信息技术综合解决方案服务商,"铜牛信息是一家专业的信息技术综合解决方案服务商,主营业务包括两类,即向客户提供通信服务与软件开发服务。公司所经营的通信服务包括数据中心服务、互联网接入服务与配置中心服务。",企业服务,行业信息化及解决方案,北京,东城区,2005-09,运营中,,北京市东城区天坛东路31号,010-5218-6933,info@topnewinfo.cn,张为民,董事长,,
山大地纬,山大地纬软件股份有限公司,91370000614070564Q,http://www.dareway.com.cn,电子政务及电力行业的软件产品供应商,"山大地纬是国内知名的电子政务及电力行业的软件产品供应商、行业先进解决方案提供商,以及系统集成、技术支持与运维服务提供商。同时获得人力资源和社会保障部全部信息系统业务资格认证和核心平台前台技术支持商资格的8家软件企业之一,主要面向相关政府部门和各类服务对象提供信息化建设整体解决方案、应用软件产品、系统平台建设和持续的技术支持与运维服务。产品与服务覆盖社会保险、人力资源及劳动就业、人事人才、劳动关系等业务领域,服务对象包括各级人力资源和社会保障政府部门、各级业务经办机构、各级基层服务机构、各类医保定点医疗机构、所有机关企事业单位和城乡各类人群。",企业服务,行业信息化及解决方案,山东,济南,1992-11,运营中,,山东省济南市高新区港兴一路300号,0532-5852-0267,zhangm@dareway.com.cn,李庆忠,董事长,,
先导智能,无锡先导智能装备股份有限公司,91320200735716149R,http://www.leadchina.cn/cn/index.htm,新能源智能装备研发制造商,先导智能是一家新能源智能装备研发制造商，目前已成长为全球领先的新能源装备提供商，业务涵盖锂电池智能装备、光伏智能装备、3C智能装备、智能物流系统、汽车智能产线、燃料电池智能装备、激光精密加工、机器视觉等八大领域。,企业服务,前沿技术,江苏,无锡,2002-04,运营中,,江苏省无锡市国家高新技术产业开发区新锡路20号,0510-8116-3688,purchase@leadchina.cn,王燕清,董事长,,
左江科技,北京左江科技股份有限公司,91110108666269874J,,信息安全领域核心技术的研发与应用,左江科技致力于信息安全领域核心技术的研发与应用，专业从事网络信息安全应用相关的硬件软件平台、板卡的设计、开发及提供全套解决方案，用于满足各行业的信息安全领域的定制开发、生产。,企业服务,企业安全,北京,海淀区,2007-08,运营中,,北京市海淀区高里掌路3号院9号楼1层101、2层201,010-8811-2303 ,cw@zj-kj.net,肖方,监事,,
远光软件,远光软件股份有限公司,91440400707956364B,http://www.ygsoft.com/,电力行业企业管理软件及服务的主流供应商,远光软件股份有限公司是电力行业企业管理软件及服务的主流供应商，为深交所上市公司（股票代码：002063），在电力行业企业管理软件领域占有80%以上的市场份额。公司总部位于珠海科技创新海岸远光软件园。,企业服务,行业信息化及解决方案,广东,珠海,1998-12,运营中,,,,,陈利浩,董事长,,
百家云,百家云集团有限公司,91110108MA00EMPG3T,http://www.baijiayun.com,一站式视频技术服务商,百家云是一家为企业解决视频技术应用领域各类痛点与需求的ToB视频云技术服务商。自成立以来，一直致力于通过音视频技术为企业数字化发展持续供能，目前已经向金融、教育、汽车、医疗等多个领域的知名企业及政府机构提供一站式视频技术服务。作为一家创新驱动型科技公司，百家云打造了视频SaaS/PaaS业务、视频云产品和软件、视频系统解决方案”三大类产品服务，引领着全球实时互动云服务的发展。,企业服务,企业IT服务,北京,海淀区,2017-05,运营中,,北京市海淀区中关村软件园2号楼2C座,400-861-6716,service@baijiayun.com,李钢江,创始人兼CEO,,
同辉佳视,同辉佳视（北京）信息技术股份有限公司,91110108678778801X,http://www.bjb.com.cn,一家智慧城市解决方案技术企业,同辉佳视是一家智慧城市解决方案技术企业，致力于提供大屏幕显示系统、智慧互动教学系统、多媒体音视频集成系统、新型智能安防系统等综合解决方案，同时为智慧城市建设提供专业的智能解决方案及运营服务，客户覆盖交通、广电、教育、传媒、安防、政府、能源等行业领域。,企业服务,行业信息化及解决方案,北京,海淀区,2008-07,运营中,,清河毛纺路临57号院北楼一层101室及二层,010-8247-6677,maxiujuan@bjb.com.cn,戴福昊 ,CEO,,
数字政通,北京数字政通科技股份有限公司,91110000801160143K,http://www.egova.com.cn/,数字化城市管理、创新社会管理、智能交通解决方案、平安城市解决方案等领域的企业,数字政通是一家数字化城市管理、创新社会管理、智能交通解决方案、平安城市解决方案等领域的企业，专注于为客户提供并实施包括数字化城市管理、城市三维实景测量、地下管线、网格化社会管理、电子警察、治安卡口、城市监控、智能停车场管理在内的与智慧城市建设相关的海量的解决方案。,企业服务,行业信息化及解决方案,北京,海淀区,2001-11,运营中,,东北旺西路8号中关村软件园9号楼国际软件大厦,010-5616-1666,egova@egova.com.cn,吴强华,董事长,,
飞利信科技,北京飞利信科技股份有限公司,91110000743325201J,http://www.philisense.com/index.html,政府信息化全面解决方案提供商,飞利信科技是一家政府信息化全面解决方案提供商，公司致力于计算机信息系统集成、建筑智能化工程承包、 建筑智能化系统设计、涉密信息系统集成、音视频系统集成等，目前公司专注于智慧城市、智能会议、大数据和互联网教育四大业务版块，为客户提供相对应的整体解决方案服务。,企业服务,行业信息化及解决方案,北京,海淀区,2002-10,运营中,,塔院志新村2号金唐酒店3层3078 ,010-6095-8301 ,chengyaqian@philisense.com,杨振华 ,总经理,,
赛意信息,广州赛意信息科技股份有限公司,914401017695403218,http://www.chinasie.com/,专注企业信息化管理咨询与企业信息系统建设服务,广州赛意是一家企业信息化相关服务提供商，专注企业信息化管理咨询与企业信息系统建设服务，为中高端企业提供ERP、CRM、PLM、企业协同系统、制造执行系统的实施、软件系统集成与开发、培训与维护等服务。,企业服务,企业IT服务,广东,广州,2005-01,运营中,,天河区珠江东路12号16楼1603-1605单元,020-3887-8880,,张成康,董事长,,
航天长峰,北京航天长峰股份有限公司,9111000010110284XC,http://www.ascf.com.cn,航天防务科技应用公司,航天长峰是一家航天防务科技应用公司。该公司致力于国家安全防务、政府和企业信息安全、人类生命救护及环境保护事业，主业定位于国际、国内安保科技高端技术的设计与实施、物联网技术及应用、医疗器械与工程等领域。,企业服务,行业信息化及解决方案,北京,海淀区,1992-12,运营中,,,,,全春来,董事,,
容知日新,安徽容知日新科技股份有限公司,91340100664238732X,http://www.ronds.com.cn,工业互联网领域的高新技术企业,容知日新是一家工业互联网领域的高新技术企业，该公司专注于工业装备的在线监测、智能诊断和云服务，运用无线传感器网络和大数据技术为工业企业提供装备智能运维解决方案。,企业服务,行业信息化及解决方案,安徽,合肥,2007-08,运营中,,高新区望江西路800号动漫基地B1-8楼,0551-6533-5195,mengying.tang@ronds.com.cn,聂卫华,创始人,,
真视通科技,北京真视通科技股份有限公司,91110000722672781M,http://www.bjzst.cn/,信息技术和多媒体视讯综合服务与解决方案提供商,真视通科技是一家信息技术和多媒体视讯综合服务与解决方案提供商，专注于向客户提供包括集成服务、定制服务、业务服务和运营服务的全方位服务。主要服务于政府部门、中央企业以及金融业客户。,企业服务,行业信息化及解决方案,北京,丰台区,2000-05,运营中,,科学城航丰路9号10层1002号[园区],010-5922-0168 ,hougq7127@zzstworld.com,胡小周 ,董事长,,
安博通,北京安博通科技股份有限公司,91110108663136638D,http://www.abtnetworks.com,可视化网络安全专用核心系统产品与安全服务,安博通是国内领先的可视化网络安全专用核心系统产品与安全服务提供商。其自主研发的ABT SPOS可视化网络安全系统平台，已成为众多一线厂商与大型解决方案集成商广泛搭载的网络安全系统套件，是国内众多部委与央企安全态势感知平台的核心组件与数据引擎。形成了以深度安全网关、融合应用网关、数据分析与综合运维平台等为核心的产品系列组合，重点面向经营服务型网络、园区网、网络运营商、无线安全运营、大型行业内网等主要客户业务场景，在政府、军工、金融、运营商、企业、教育等多个行业领域均获得成功应用。,企业服务,企业安全,北京,西城区,2007-05,运营中,,北京市西城区裕民路18号北环中心大厦2602室,010-8069-9886,hanyafei@sapling.com.cn,钟竹,董事长,,
易联众,易联众信息技术股份有限公司,91350200612040492E,http://www.ylzinfo.com,民生行业应用解决方案提供商,易联众是一家民生行业应用解决方案提供商和民生信息服务供应商，重点围绕“医疗保障、卫生健康、人力资源与社会保障”等民生领域，专注打造全方位的整体解决方案和产品与技术服务体系。易联众旗下有“民生信息服务云计算平台”，面向政府、企业和社会公众提供金融社保卡、自助服务终端及在医疗健康、社会保障、就业服务、教育、住房等民生领域的易用便捷的全线产品和服务。,企业服务,行业信息化及解决方案,福建,厦门,2000-07,运营中,,福建省厦门市思明区软件园二期观日路18号502,0592-251-7033,,张曦,董事长,,
新开普电子,新开普电子股份有限公司,91410100721832659Y,http://www.newcapec.com.cn,智能卡及RFID技术应用开发商,"新开普电子是一家致力于开发以智能卡及RFID技术为基础的各类行业应用解决方案的公司,面向城市、校园、企事业以及银行和电信运营商，从事智能一卡通系统的平台软件、应用软件及各类智能卡终端的研发、生产、集成、销售和服务业务，旗下产品包括电子支付类、智能水电类、身份识别类、射频识别产品、智能燃气表等。",企业服务,行业信息化及解决方案,河南,郑州,2000-04,运营中,,河南省郑州市高新技术产业开发区迎春街18号,4006300248,,杨维国 ,CEO,,
银基集团,银基贸易发展（深圳）有限公司,91440300777198212C,http://www.silverbase.com.cn,致力于建立酒类产品的经销网络及渠道管理,"银基集团为酒类营运商,致力于建立酒类产品的经销网络及渠道管理，经销多个高质素的酒类产品，致力提升用家对白酒享用的经验及迎合用家不同味道的喜嗜，于不同市场推广不同品味及价位的白酒产品，并积极创新和白酒供应商钻研开发更多新产品以迎合更多用家的需求，开发市场空间。",企业服务,销售营销,广东,深圳,2005-12,运营中,,广东省深圳市宝安区深圳市宝安区留仙二路美生创谷智谷楼,0755-2583-3158,jf_wang@silverbase.com.cn,梁国兴,CEO,,
